code,description,steps
00767,Включена передача R.,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу. Разводка контактов А302: М/6."
01007,Функция замещения сигнала торможения., 
01031,Функция замещения стояночного освещения., 
01086,Остаточное давление в 3 контуре электрической пневматической системы (ECAM).,"Приоритет 1: Требуется остановка двигателя или Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 4. Сигнал отсутствует; 6. Замыкание на Uбат. Разводка контактов А302: R1/8."
01087,Остаточное давление в 1 контуре электрической пневматической системы (ECAM).,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 4. Сигнал отсутствует; 6. Замыкание на Uбат. Разводка контактов А302: R1/11.
01088,Остаточное давление в 2 контуре электрической пневматической системы (ECAM).,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 4. Сигнал отсутствует; 6. Замыкание на Uбат. Разводка контактов А302: R1/9.
01089,Остаточное давление в 4 контуре электрической пневматической системы (ECAM).,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 4. Сигнал отсутствует; 6. Замыкание на Uбат. Разводка контактов А302: М/2.
01235,"Шина данных I-CAN Higt, последовательная связь.",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 4. Сигнал отсутствует. Разводка контактов А302: R2/9.
01235,"Шина данных I-CAN Low, последовательная связь.",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 4. Сигнал отсутствует. Разводка контактов А302: R2/10.
01376,"Напряжение питания ZBR2, постоянный плюс от аккумуляторов отсутствует (клемма 30-1 Uбат.).",Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 10. Обрыв. Разводка контактов А302: ZE/13.
01624,Скорость автомобиля., 
01667,Сигнал торможения тормозом-замедлителем (истекло время ожидания).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 8. Неверный сигнал."
02987,Номер шасси в тахографе или параметры ZBR2 не подходят к автомобилю.,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 3. Неприемлемый.
03000,"Система ZBR2, информация об аварийном отключении.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу. Разводка контактов А302: F1/12.
03001,"Система ZBR2, пробуждение компьютера.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу. Разводка контактов А302: F1/11.
03102,Клемма 30-1 подключена.,Приоритет 1: Требуется остановка двигателя. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/9.
03103,"Напряжение питания ZBR2, аналоговая масса.",Разводка контактов А302: М/16.
03104,"Напряжение питания ZBR2, аналоговая масса.",Разводка контактов А302: R1/15.
03107,"Напряжение питания ZBR2, зажигание включено (реле клемма 15).","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу; 10. Обрыв. Разводка контактов А302: F2/12."
03108,"Напряжение питания ZBR2, выключатель питания аккумуляторных батарей.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 10. Обрыв. Разводка контактов А302: F2/18.
03111,"Напряжение питания ZBR2, включатель стартера (клемма 50).","Приоритет 1: Требуется остановка двигателя. Приоритет 2: Неисправность, требующая устранения в сервисном центре. Приоритет 3: Индикация во время остановки. Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Приоритет 5: Индикация во время остановки и во время движения автомобиля. Разводка контактов А302: ZE/5."
03201,Падение давления на воздушном фильтре двигателя.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат. Разводка контактов А302: Х/3.
03300,"Генератор, клемма W.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 3. Неприемлемый. Разводка контактов А302: М/14."
03301,"Генератор, клемма L.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 4. Сигнал отсутствует. Разводка контактов А302: М/4."
03302,"Генератор, клемма В+.",Приоритет 3: Индикация во время остановки. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: М/8.
03303,Сигнал D+ (Двигатель работает).,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат. Разводка контактов А302: F2/17."
03335,Подача напряжения (данные отсутствуют).,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления."
03400,Электромагнитный клапан предпускового подогрева.,Приоритет 3: Индикация во время остановки. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: М/13.
03401,Реле предпускового подогрева.,Приоритет 3: Индикация во время остановки. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: ZE/8.
03402,Ток свечей накаливания предпускового подогрева.,Приоритет 3: Индикация во время остановки. Вид неисправности: 10. Обрыв. Разводка контактов А302: ZE/19.
03403,Ток свечей накаливания предпускового подогрева.,Приоритет 3: Индикация во время остановки. Вид неисправности: 2. Слишком низкое; 3. Неприемлемый; 10. Обрыв. Разводка контактов А302: ZE/20.
03500,"Неисправность ABS прицепа (ABS, ASR, EBS).",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления. Разводка контактов А302: Х/2.
03501,"ABS прицепа, потребление тока.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокий; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/14.
03502,Сигнал торможения тягача.,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/4."
03503,Сигнал торможения прицепа.,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 1. Слишком высокий; 2. Слишком низкий; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/5."
03568,Тормоз-замедлитель включен.,Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления.
03569,Моторный тормоз включен.,Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления.
03570,Рабочие тормоза включены.,Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления.
03600,Уровень жидкости в приводе сцепления.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R1/2.
03602,Реле фонарей заднего хода.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/13.
03603,Включение системы отопления Kongsberg.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: М/18.
03625,Понижающая передача.,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 6. Замыкание на Uбат. Разводка контактов А302: Х/4."
03800,Уровень передней оси (пневматическая подвеска ECAS).,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 4. Сигнал отсутствует; 5. Замыкание на массу. Разводка контактов А302: R2/17.
03903,Температура топлива в баке 1.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое. Разводка контактов А302: R1/10.
04000,Выключатель света фар.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/17.
04001,"Ближний свет, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/6.
04002,"Ближний свет, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/2.
04003,"Левая фара, регулировка высоты.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 3. Неприемлемый; 4. Сигнал отсутствует; 8. Сигнал неверный; 9. Неисправен компонент. Разводка контактов А302: BL/3.
04004,"Правая фара, регулировка высоты.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 3. Неприемлемый; 4. Сигнал отсутствует; 8. Сигнал неверный; 9. Неисправен компонент. Разводка контактов А302: BR/6.
04005,"Указатель поворота на тягаче, левый задний.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/1.
04006,"Указатель поворота на тягаче, правый задний.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/13.
04007,"Указатель поворота на тягаче, левый передний или боковой.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/4.
04008,"Указатель поворота на тягаче, правый передний или боковой.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Разводка контактов А302: BR/3.
04009,"Выключатель указателя поворотов, датчик Холла (на руле слева).",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; Разводка контактов А302: F1/3.
04010,"Выключатель указателя поворотов, датчик Холла (на руле справа).",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; Разводка контактов А302: F1/6.
04011,Выключатель мигающего света слева.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/15.
04012,Выключатель мигающего света справа.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/16.
04013,"Аварийная сигнализация, контрольная лампа.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/16.
04014,"Аварийная сигнализация, выключатель.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/1."
04015,"Указатель поворота на прицепе, левый.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/3.
04016,"Указатель поворота на прицепе, правый.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/2.
04017,"Дальний свет, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/5.
04018,"Дальний свет, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/1.
04019,"Дальний свет, клавишный выключатель.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/13.
04020,"Прерывистый свет фар, клавишный выключатель.", 
04021,"Дополнительный дальний свет, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/1.
04022,"Дополнительный дальний свет, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/4.
04023,"Дополнительный дальний свет на крыше, реле.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/14.
04024,Задние противотуманные фары на тягаче.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; Разводка контактов А302: R2/16.
04025,Задние противотуманные фары на прицепе.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; Разводка контактов А302: R2/15.
04026,"Противотуманные фары, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/5.
04027,"Противотуманные фары, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/2.
04028,"Контрольная лампа противотуманной фары, разблокирование включения.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; Разводка контактов А302: X/12.
04029,"Дополнительная противотуманная фара, реле.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/18.
04030,"Фонари стояночного света на тягаче, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/1.
04031,"Фонари стояночного света на тягаче, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/7.
04032,"Фонари стояночного света, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 3. Неприемлемый. Разводка контактов А302: ZE/10.
04033,"Фонари стояночного света, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 3. Неприемлемый. Разводка контактов А302: ZE/14.
04034,"Боковые габаритные фонари, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/7.
04035,"Боковые габаритные фонари, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 1. Слишком высокое; 2. Слишком низкое; 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R2/6.
04036,"Фонари стояночного света прицепа, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/3.
04037,"Фонари стояночного света прицепа, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/2.
04038,"Стояночный свет, реле.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: ZE/4.
04039,Выключатель стояночного света.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F1/14.
04040,"Зимний режим, реле.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/18.
04042,Проверка освещения.,Приоритет 6: Указание на критическое состояние для безопасности. 0. Неисправность отсутствует или неисправен блок управления.
04043,"Проверка освещения, блокировка.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления."
04044,"Проверка освещения, разблокировка.","Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления."
04045,"Система указателей поворота с обеих сторон, включение.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 3. Неприемлемый.
04046,Идентификация калибровки системы установки угла фар.,"Приоритет 4: Индикация отсутствует, не влияет на пригодность к эксплуатации. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления."
04100,"Ближний зимний свет, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/2.
04101,"Ближний зимний свет, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/6.
04102,"Дальний зимний свет, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BR/1.
04103,"Дальний зимний свет, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: BL/5.
04104,"Фонари заднего зимнего стояночного света, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/1.
04105,"Фонари заднего зимнего стояночного света, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 0. Неисправность отсутствует или неисправен блок управления; 1. Слишком высокое; 2. Слишком низкое; 10. Обрыв. Разводка контактов А302: ZE/7.
04109,Выключатель маскировочной фары.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Разводка контактов А302: F1/2.
04113,"Стояночный свет, правая сторона, реле.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: X/17.
04200,"Внутреннее освещение и освещение подножки, правая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/5.
04201,"Внутреннее освещение и освещение подножки, левая сторона.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/4.
04300,"Жидкость стеклоомывателя, датчик уровня.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 2. Слишком низкое; 6. Замыкание на Uбат. Разводка контактов А302: F1/7.
04301,"Жидкость стеклоомывателя, насос.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/15.
04302,"Стеклоочиститель, выключатель прерывистого режима.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; Разводка контактов А302: F1/5.
04303,"Стеклоочиститель, задающий генератор выключателя прерывистого режима.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: X/18."
04304,"Стеклоомыватель, клавишный переключатель.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; Разводка контактов А302: F1/4.
04305,"Стеклоочиститель, сигнал датчика наличия дождя.",Приоритет 3: Индикация во время остановки. Разводка контактов А302: F1/18.
04306,"Стеклоомыватель фар, датчик уровня жидкости.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 2. Слишком низкое; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: R1/5.
04307,"Стеклоомыватель фар, насос.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/1.
04308,"Двигатель стеклоочистителя, обороты.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Разводка контактов А302: F2/6."
04309,"Двигатель стеклоочистителя, скорость вращения.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Разводка контактов А302: F2/6."
04310,Реле стеклоочистителя.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 5. Замыкание на массу; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: ZE/6.
04311,Концевой выключатель стеклоочистителя.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 3. Неприемлемый; 4. Сигнал отсутствует. Разводка контактов А302: F1/10.
04312,Выключатель стеклоочистителя.,"Приоритет 2: Неисправность, требующая устранения в сервисном центре. Разводка контактов А302: X/15."
04400,"Централизованная система смазки, количество смазки в системе.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 2. Слишком низкое; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/8.
04401,"Централизованная система смазки, двигатель.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 4. Сигнал отсутствует; 5. Замыкание на массу. Разводка контактов А302: X/16.
04402,"Централизованная система смазки, датчик насоса.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 4. Сигнал отсутствует; 6. Замыкание на Uбат.; 10. Обрыв. Разводка контактов А302: F2/11.
04403,"Централизованная система смазки, переключатель.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; Разводка контактов А302: X/6.
04500,"Гидравлическая рулевая система, уровень масла в 1 контуре.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; Разводка контактов А302: R1/6.
04502,"Гидравлическая рулевая система, уровень масла в 2 контуре.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 6. Замыкание на Uбат.; Разводка контактов А302: R1/4.
04523,"Гидравлическая рулевая система, давление масла в 1 контуре.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 4. Сигнал отсутствует; 5. Замыкание на массу. Разводка контактов А302: Х/11."
04524,"Гидравлическая рулевая система, давление масла в 2 контуре.","Приоритет 2: Неисправность, требующая устранения в сервисном центре. Вид неисправности: 4. Сигнал отсутствует; 5. Замыкание на массу. Разводка контактов А302: Х/10."
04600,"Контакт двери, правый.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Разводка контактов А302: F1/8.
04601,"Контакт двери, левый.",Приоритет 5: Индикация во время остановки и во время движения автомобиля. Разводка контактов А302: F1/9.
04800,Ответная сигнализация центрального замка.,Приоритет 5: Индикация во время остановки и во время движения автомобиля. Вид неисправности: 3. Неприемлемый. Разводка контактов А302: Х/7.
